Year_Quarter_Key,avg_five_year_rates
20011,7.65
20012,7.596153846
20013,7.576923077
20014,6.880769231
20021,6.953846154
20022,7.357692308
20023,6.95
20024,6.753846154
20031,6.6
20032,6.384615385
20033,6.3
20034,6.403571429
20041,5.942307692
20042,6.369230769
20043,6.442307692
20044,6.261538462
20051,6.065384615
20052,5.95
20053,5.792307692
20054,6.103846154
20061,6.392307692
20062,6.719230769
20063,6.869230769
20064,6.565384615
20071,6.57
20072,6.859230769
20073,7.232307692
20074,7.386153846
20081,7.374615385
20082,6.966923077
20083,6.988461538
20084,7.067857143
20091,5.93
20092,5.442307692
20093,5.747142857
20094,5.674615385
20101,5.434615385
20102,6.026153846
20103,5.566923077
20104,5.255384615
20111,5.328461538
20112,5.574615385
20113,5.382307692
20114,5.282307692
20121,5.24
20122,5.370769231
20123,5.24
20124,5.24
20131,5.216923077
20132,5.14
20133,5.216923077
20134,5.34
20141,5.186153846
20142,4.805384615
20143,4.79
20144,4.79
20151,4.769166667
20152,4.647692308
20153,4.64
20154,4.64
20161,4.64
20162,4.64
20163,4.709230769
20164,4.64
20171,4.64
20172,4.64
20173,4.813076923
20174,4.966923077
20181,5.116923077
20182,5.263076923
20183,5.34
20184,5.34
20191,5.34
20192,5.34
20193,5.213076923
20194,5.19
20201,5.166923077
20202,4.993846154
20203,4.854285714
20204,4.79
20211,4.79
20212,4.79
20213,4.79
20214,4.79
20221,4.79
20222,5.263076923
20223,6.115