Year_Quarter_Key,_Year,Quarter
20011,2001,1
20012,2001,2
20013,2001,3
20014,2001,4
20021,2002,1
20022,2002,2
20023,2002,3
20024,2002,4
20031,2003,1
20032,2003,2
20033,2003,3
20034,2003,4
20041,2004,1
20042,2004,2
20043,2004,3
20044,2004,4
20051,2005,1
20052,2005,2
20053,2005,3
20054,2005,4
20061,2006,1
20062,2006,2
20063,2006,3
20064,2006,4
20071,2007,1
20072,2007,2
20073,2007,3
20074,2007,4
20081,2008,1
20082,2008,2
20083,2008,3
20084,2008,4
20091,2009,1
20092,2009,2
20093,2009,3
20094,2009,4
20101,2010,1
20102,2010,2
20103,2010,3
20104,2010,4
20111,2011,1
20112,2011,2
20113,2011,3
20114,2011,4
20121,2012,1
20122,2012,2
20123,2012,3
20124,2012,4
20131,2013,1
20132,2013,2
20133,2013,3
20134,2013,4
20141,2014,1
20142,2014,2
20143,2014,3
20144,2014,4
20151,2015,1
20152,2015,2
20153,2015,3
20154,2015,4
20161,2016,1
20162,2016,2
20163,2016,3
20164,2016,4
20171,2017,1
20172,2017,2
20173,2017,3
20174,2017,4
20181,2018,1
20182,2018,2
20183,2018,3
20184,2018,4
20191,2019,1
20192,2019,2
20193,2019,3
20194,2019,4
20201,2020,1
20202,2020,2
20203,2020,3
20204,2020,4
20211,2021,1
20212,2021,2
20213,2021,3
20214,2021,4
20221,2022,1
20222,2022,2
20223,2022,3
20224,2022,4